Track Name,Artist Name,Track ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
ETERNAL FLOW,BEXEY,4TwfMqHlryPPrvwe5G2Ylh,0.585,0.475,7,-9.265,0,0.389,0.196,0.0,0.09,0.417,99.971,audio_features,4TwfMqHlryPPrvwe5G2Ylh,spotify:track:4TwfMqHlryPPrvwe5G2Ylh,https://api.spotify.com/v1/tracks/4TwfMqHlryPPrvwe5G2Ylh,https://api.spotify.com/v1/audio-analysis/4TwfMqHlryPPrvwe5G2Ylh,153600,4
BEVERLY HILLS HEARTACHE,BEXEY,0FzlhwaKweyfZPnBwUkYZ4,0.717,0.397,8,-12.29,0,0.127,0.613,0.0,0.102,0.624,119.978,audio_features,0FzlhwaKweyfZPnBwUkYZ4,spotify:track:0FzlhwaKweyfZPnBwUkYZ4,https://api.spotify.com/v1/tracks/0FzlhwaKweyfZPnBwUkYZ4,https://api.spotify.com/v1/audio-analysis/0FzlhwaKweyfZPnBwUkYZ4,186000,4
Lil' Bro Keep A Stick,Terrance Escobar,1dG5eTvlXPDTYTio5hySv0,0.712,0.571,6,-9.274,1,0.241,0.0978,1.93e-05,0.119,0.614,129.718,audio_features,1dG5eTvlXPDTYTio5hySv0,spotify:track:1dG5eTvlXPDTYTio5hySv0,https://api.spotify.com/v1/tracks/1dG5eTvlXPDTYTio5hySv0,https://api.spotify.com/v1/audio-analysis/1dG5eTvlXPDTYTio5hySv0,146756,4
skipping tiles,julie,43phhhh1hQF7koWX3uNvO3,0.444,0.96,5,-5.752,0,0.0505,0.00362,0.784,0.417,0.215,144.956,audio_features,43phhhh1hQF7koWX3uNvO3,spotify:track:43phhhh1hQF7koWX3uNvO3,https://api.spotify.com/v1/tracks/43phhhh1hQF7koWX3uNvO3,https://api.spotify.com/v1/audio-analysis/43phhhh1hQF7koWX3uNvO3,136222,4
Keep My Coo,Lil Peep,5r9pmRvq2fHFDsMClWZqjh,0.816,0.723,2,-7.02,1,0.0412,0.00618,0.0,0.263,0.0473,119.973,audio_features,5r9pmRvq2fHFDsMClWZqjh,spotify:track:5r9pmRvq2fHFDsMClWZqjh,https://api.spotify.com/v1/tracks/5r9pmRvq2fHFDsMClWZqjh,https://api.spotify.com/v1/audio-analysis/5r9pmRvq2fHFDsMClWZqjh,266187,4
Keep My Coo,Lil Peep,5r9pmRvq2fHFDsMClWZqjh,0.816,0.723,2,-7.02,1,0.0412,0.00618,0.0,0.263,0.0473,119.973,audio_features,5r9pmRvq2fHFDsMClWZqjh,spotify:track:5r9pmRvq2fHFDsMClWZqjh,https://api.spotify.com/v1/tracks/5r9pmRvq2fHFDsMClWZqjh,https://api.spotify.com/v1/audio-analysis/5r9pmRvq2fHFDsMClWZqjh,266187,4
2chainz,UnoTheActivist,6eW5HMuZa8LW8TD8pRqk96,0.419,0.613,8,-10.236,1,0.0464,0.0137,0.000356,0.211,0.1,158.586,audio_features,6eW5HMuZa8LW8TD8pRqk96,spotify:track:6eW5HMuZa8LW8TD8pRqk96,https://api.spotify.com/v1/tracks/6eW5HMuZa8LW8TD8pRqk96,https://api.spotify.com/v1/audio-analysis/6eW5HMuZa8LW8TD8pRqk96,138784,4
Leaves from the Vine,AtinPiano,365EjihbgfxS3S9mdH3G0a,0.287,0.0523,2,-17.638,1,0.0421,0.987,0.973,0.128,0.043,70.847,audio_features,365EjihbgfxS3S9mdH3G0a,spotify:track:365EjihbgfxS3S9mdH3G0a,https://api.spotify.com/v1/tracks/365EjihbgfxS3S9mdH3G0a,https://api.spotify.com/v1/audio-analysis/365EjihbgfxS3S9mdH3G0a,144000,5
no keys,Sig.Carlito,3Sx2J8fJAOPLfGXgNich9T,0.696,0.678,1,-10.023,0,0.13,0.024,0.0,0.277,0.478,127.873,audio_features,3Sx2J8fJAOPLfGXgNich9T,spotify:track:3Sx2J8fJAOPLfGXgNich9T,https://api.spotify.com/v1/tracks/3Sx2J8fJAOPLfGXgNich9T,https://api.spotify.com/v1/audio-analysis/3Sx2J8fJAOPLfGXgNich9T,105064,4
Warren Sapp,Xuperp,1ch5Hw4HYUMi832FqgrM2o,0.506,0.52,1,-10.201,1,0.311,0.614,0.0,0.171,0.484,74.041,audio_features,1ch5Hw4HYUMi832FqgrM2o,spotify:track:1ch5Hw4HYUMi832FqgrM2o,https://api.spotify.com/v1/tracks/1ch5Hw4HYUMi832FqgrM2o,https://api.spotify.com/v1/audio-analysis/1ch5Hw4HYUMi832FqgrM2o,123840,5
imy2,Sig.Carlito,0a8SmmPpXi67qtFhsQnaN9,0.609,0.52,0,-10.967,0,0.112,0.594,0.0,0.123,0.353,120.103,audio_features,0a8SmmPpXi67qtFhsQnaN9,spotify:track:0a8SmmPpXi67qtFhsQnaN9,https://api.spotify.com/v1/tracks/0a8SmmPpXi67qtFhsQnaN9,https://api.spotify.com/v1/audio-analysis/0a8SmmPpXi67qtFhsQnaN9,128052,4
Theme Song,Sig.Carlito,5F55ZyyTltWGrrPyciQT9J,0.513,0.848,1,-5.584,1,0.0398,0.0715,0.0,0.414,0.763,146.074,audio_features,5F55ZyyTltWGrrPyciQT9J,spotify:track:5F55ZyyTltWGrrPyciQT9J,https://api.spotify.com/v1/tracks/5F55ZyyTltWGrrPyciQT9J,https://api.spotify.com/v1/audio-analysis/5F55ZyyTltWGrrPyciQT9J,121671,4
geek,Sig.Carlito,1B64g92Ar5hHYpYzNM7u8E,0.762,0.696,11,-5.836,0,0.0495,0.0594,0.0,0.162,0.687,131.848,audio_features,1B64g92Ar5hHYpYzNM7u8E,spotify:track:1B64g92Ar5hHYpYzNM7u8E,https://api.spotify.com/v1/tracks/1B64g92Ar5hHYpYzNM7u8E,https://api.spotify.com/v1/audio-analysis/1B64g92Ar5hHYpYzNM7u8E,116428,4
Find Me On Mars,Terrance Escobar,1RWqCKIOWu8prvPfHN284v,0.858,0.654,11,-6.787,1,0.2,0.207,0.0,0.0886,0.395,124.949,audio_features,1RWqCKIOWu8prvPfHN284v,spotify:track:1RWqCKIOWu8prvPfHN284v,https://api.spotify.com/v1/tracks/1RWqCKIOWu8prvPfHN284v,https://api.spotify.com/v1/audio-analysis/1RWqCKIOWu8prvPfHN284v,169012,4
*OTP*,Terrance Escobar,5irPKTtQlpDWUfi5hMbVXl,0.822,0.425,11,-9.969,1,0.323,0.14,0.0,0.264,0.253,134.701,audio_features,5irPKTtQlpDWUfi5hMbVXl,spotify:track:5irPKTtQlpDWUfi5hMbVXl,https://api.spotify.com/v1/tracks/5irPKTtQlpDWUfi5hMbVXl,https://api.spotify.com/v1/audio-analysis/5irPKTtQlpDWUfi5hMbVXl,142263,4
